Date,Region,Product ID,Product Name,Category,Supplier,Warehouse,Order Status,Units Sold,Inventory Level,Transportation Cost,Order Accuracy,Lead Time (Days),Backorder,Average Inventory,Warehouse Capacity,COGS
2025-06-11,West,P06754,Tablet,electronics,Supplier A,Warehouse 2,Fulfilled,124.0,1993.0,16045.78,True,1.0,False,2953.0,7316,3992.09
2026-04-01,South,P01977,General Product,Accessories,Supplier C, Warehouse 2 ,Pending,214.0,3419.0,2864.51,True,2.0,False,2019.0,6030,17176.62
2026-07-27,East,P07552,General Product,Accessories,Supplier A,Warehouse 2,Fulfilled,236.0,1576.0,6426.89,True,14.0,False,1026.0,7603,21255.0
2026-07-02,North,P05670,General Product,Accessories,Supplier D,Warehouse 1, Fulfilled ,393.0,2021.0,6169.45,True,26.0,False,944.0,8116,9403.68
2025-11-02,north,P08858,Smartphone,Electronics,Supplier D,Warehouse 3,Fulfilled,732.0,1381.0,5330.58,True,1.0,False,2301.0,6320,34653.57
2025-02-07,East,P00567,Smartphone,Electronics,Supplier A,Warehouse 1,Fulfilled,612.0,3720.0,13253.72,True,18.0,False,4447.0,5213,29899.21
2025-10-31,East,P00171,Filing Cabinet,Furniture,Supplier A,Warehouse 2,Pending,1115.0,115.0,9854.02,True,10.0,False,2022.0,7420,26094.85
2026-07-07,West,P03657,T-Shirt,Clothing, Supplier B ,Warehouse 1,Pending,348.0,4673.0,8157.27,True,28.0,False,2021.0,6625,11888.49
2025-12-30,West,P03528,Smartphone,Electronics, Supplier D ,warehouse 2,Fulfilled,1137.0,145.0,4078.6,True,35.0,False,916.0,5034,41137.07
2026-03-18,East,P06328,General Product,Accessories,Supplier B,Warehouse 3,Fulfilled,137.0,1062.0,10738.09,True,35.0,False,1094.0,5658,7756.66
2025-04-15,East,P02504,Formal Shirt,Clothing,Supplier C,Warehouse 2,Pending,389.0,4817.0,8075.53,True,15.0,False,3850.0,5938,9632.12
2025-05-31,West,P02501,General Product,Accessories,Supplier C,Warehouse 3,Fulfilled,224.0,2046.0,12025.63,True,1.0,False,1565.0,9833,7274.44
2025-10-27,South,P08961,Sneakers,Clothing,Supplier D,Warehouse 3,Canceled,192.0,2272.0,8648.11,True,1.0,False,1632.0,8797,15753.36
2025-04-17,North,P01582,Mouse,Electronics,Supplier D,Warehouse 1,Fulfilled,808.0,1587.0,12682.46,True,19.0,False,2826.0,8928,85011.52
2026-04-23,North,P09843,Filing Cabinet,Furniture,Supplier B,Warehouse 3,Fulfilled,542.0,1535.0,12151.33,True,1.0,False,1261.0,8111,61471.46
2025-07-31,East,P04064,General Product,Accessories,Supplier A,Warehouse 3,Fulfilled,489.0,4516.0,3049.61,True,22.0,False,4254.0,7655,57087.51
2026-03-31,South,P02195,Jacket,Clothing,Supplier A,Warehouse 3,Pending,680.0,3842.0,8432.16,True,16.0,False,2286.0,5941,30223.98
2025-02-27,South,P06576,Keyboard,Electronics,Supplier B,Warehouse 3,Fulfilled,649.0,2808.0,7219.25,True,28.0,False,2808.0,5794,40144.43
2026-01-18,East,P04086,Tablet,Electronics,Supplier C,warehouse 1,Fulfilled,506.0,1158.0,7091.33,True,24.0,False,3370.0,7734,55827.51
2025-06-09,South,P03549,Jeans,Clothing,Supplier C,Warehouse 3,Canceled,531.0,248.0,6153.46,True,6.0,False,2188.0,9397,26794.79
2025-07-26,East,P08340,Desk,Furniture,Supplier B,Warehouse 3,Canceled,1082.0,575.0,9758.65,True,18.0,False,317.0,6145,28992.95
2025-06-21,South,P00023,T-Shirt,Clothing,Supplier C,Warehouse 3,Fulfilled,408.0,2531.0,7895.51,True,23.0,False,1952.0,7785,28443.68
2025-05-29,East,P06311,General Product,Accessories,Supplier A,Warehouse 1,Pending,882.0,4296.0,14983.15,True,33.0,False,3256.0,9787,92994.4
2025-04-01,North,P04153,Bookshelf,Furniture,Supplier C,Warehouse 2,Pending,877.0,3072.0,4402.87,True,3.0,False,2922.0,7394,84351.86
2025-03-25,North,P05760,Smartphone,Electronics,Supplier D,Warehouse 1,fulfilled,457.0,4300.0,566.18,True,26.0,False,2660.0,9906,39855.45
2025-12-07,East,P07288,Bookshelf,Furniture,Supplier B,Warehouse 3,Canceled,1014.0,591.0,12048.95,,17.0,False,306.0,6145,58021.3
